,Date,Actual,Predicted
386,2014-08-11,[116.76000214],[117.09739434]
387,2014-08-12,[117.23999786],[117.09017789]
388,2014-08-13,[117.93000031],[117.20749917]
389,2014-08-14,[117.73999786],[117.63519175]
390,2014-08-15,[116.88999939],[117.82989269]
391,2014-08-18,[117.20999908],[117.377475]
392,2014-08-19,[116.94999695],[117.13630177]
393,2014-08-20,[115.69999695],[117.0199409]
394,2014-08-21,[115.77999878],[116.36029257]
395,2014-08-22,[114.08999634],[115.90179845]
396,2014-08-25,[114.87000275],[114.92176725]
397,2014-08-26,[115.08000183],[114.69529302]
398,2014-08-27,[114.91000366],[114.96330785]
399,2014-08-28,[114.43000031],[115.10862139]
400,2014-08-29,[114.31999969],[114.82929587]
401,2014-09-02,[116.19999695],[114.50080852]
402,2014-09-03,[115.95999908],[115.32608311]
403,2014-09-04,[116.05000305],[115.97161197]
404,2014-09-05,[116.38999939],[116.17840716]
405,2014-09-08,[116.04000092],[116.29269319]
406,2014-09-09,[115.01999664],[116.1813775]
407,2014-09-10,[116.48999786],[115.55782798]
408,2014-09-11,[116.37000275],[115.88044962]
409,2014-09-12,[117.11000061],[116.31639209]
410,2014-09-15,[117.16000366],[116.87637019]
411,2014-09-16,[117.58999634],[117.16812986]
412,2014-09-17,[117.34999847],[117.43008353]
413,2014-09-18,[119.43000031],[117.4420702]
414,2014-09-19,[118.76000214],[118.45749317]
415,2014-09-22,[119.01000214],[118.93208873]
416,2014-09-23,[118.25],[119.03417414]
417,2014-09-24,[118.84999847],[118.58562413]
418,2014-09-25,[117.87000275],[118.56591]
419,2014-09-26,[118.65000153],[118.24678294]
420,2014-09-29,[117.51999664],[118.38541023]
421,2014-09-30,[117.52999878],[118.02184422]
422,2014-10-01,[116.65000153],[117.66482917]
423,2014-10-02,[114.48000336],[117.074082]
424,2014-10-03,[116.16000366],[115.61473241]
425,2014-10-06,[116.69999695],[115.54298805]
426,2014-10-07,[115.81999969],[116.29632211]
427,2014-10-08,[116.26000214],[116.36821116]
428,2014-10-09,[114.51999664],[116.30016007]
429,2014-10-10,[113.97000122],[115.35848837]
430,2014-10-13,[112.66999817],[114.39344285]
431,2014-10-14,[111.62000275],[113.34526601]
432,2014-10-15,[110.05999756],[112.31704036]
433,2014-10-16,[110.18000031],[111.05272278]
434,2014-10-17,[109.79000092],[110.43505321]
435,2014-10-20,[113.30999756],[110.14932062]
436,2014-10-21,[113.34999847],[111.81132761]
437,2014-10-22,[112.26999664],[113.17877499]
438,2014-10-23,[113.41000366],[113.06665714]
439,2014-10-24,[114.51000214],[113.09360695]
440,2014-10-27,[114.33999634],[113.82488856]
441,2014-10-28,[115.09999847],[114.3469737]
442,2014-10-29,[115.80999756],[114.8647083]
443,2014-10-30,[115.86000061],[115.46797683]
444,2014-10-31,[121.34999847],[115.81804509]
445,2014-11-03,[122.],[118.71702988]
446,2014-11-04,[119.40000153],[121.26660632]
447,2014-11-05,[121.37000275],[120.80901091]
448,2014-11-06,[119.83000183],[120.60687543]
449,2014-11-07,[118.66999817],[120.09072558]
450,2014-11-10,[117.97000122],[119.21461175]
451,2014-11-11,[119.13999939],[118.34530493]
452,2014-11-12,[118.79000092],[118.59601336]
453,2014-11-13,[119.81999969],[118.89837134]
454,2014-11-14,[119.81999969],[119.49030815]
455,2014-11-17,[118.58999634],[119.82034482]
456,2014-11-18,[120.06999969],[119.22005276]
457,2014-11-19,[120.34999847],[119.43177335]
458,2014-11-20,[119.72000122],[120.03179453]
459,2014-11-21,[121.29000092],[120.06164399]
460,2014-11-24,[121.45999908],[120.65272072]
461,2014-11-25,[121.80999756],[121.24129702]
462,2014-11-26,[121.69999695],[121.66674936]
463,2014-11-28,[123.12999725],[121.73735509]
464,2014-12-01,[124.94000244],[122.42710938]
465,2014-12-02,[126.56999969],[123.94794334]
466,2014-12-03,[127.70999908],[125.74446805]
467,2014-12-04,[128.6000061],[127.17749273]
468,2014-12-05,[129.02999878],[128.14340473]
469,2014-12-08,[128.41999817],[128.69411747]
470,2014-12-09,[128.36000061],[128.53799763]
471,2014-12-10,[125.48999786],[128.25510646]
472,2014-12-11,[126.08999634],[126.62069268]
473,2014-12-12,[124.54000092],[125.78976121]
474,2014-12-15,[121.55000305],[125.00284014]
475,2014-12-16,[121.94000244],[123.01212496]
476,2014-12-17,[123.22000122],[121.88664897]
477,2014-12-18,[124.73999786],[122.45937292]
478,2014-12-19,[127.01000214],[124.02813625]
479,2014-12-22,[126.63999939],[126.08856372]
480,2014-12-23,[126.76000214],[126.85592803]
481,2014-12-24,[126.76000214],[126.76137837]
482,2014-12-26,[128.1000061],[126.55400176]
483,2014-12-29,[127.37000275],[127.27705457]
484,2014-12-30,[125.91000366],[127.55999183]
485,2014-12-31,[125.48000336],[126.65336023]
486,2015-01-02,[125.66999817],[125.63135103]
487,2015-01-05,[123.37000275],[125.3803316]
488,2015-01-06,[122.09999847],[124.33751101]
489,2015-01-07,[125.16999817],[122.83790863]
490,2015-01-08,[127.58000183],[123.69916874]
491,2015-01-09,[126.08000183],[126.22061896]
492,2015-01-12,[126.04000092],[126.91057955]
493,2015-01-13,[126.41000366],[126.34329584]
494,2015-01-14,[125.81999969],[126.01038109]
495,2015-01-15,[126.77999878],[125.81750235]
496,2015-01-16,[128.88000488],[126.29970575]
497,2015-01-20,[129.16000366],[127.84620679]
498,2015-01-21,[128.66000366],[128.98722039]
499,2015-01-22,[129.86000061],[128.96656151]
500,2015-01-23,[129.66000366],[129.22727367]
501,2015-01-26,[131.86000061],[129.47703336]
502,2015-01-27,[131.1000061],[130.78287258]
503,2015-01-28,[130.94999695],[131.30735016]
504,2015-01-29,[132.1499939],[131.07569511]
505,2015-01-30,[128.8500061],[131.42670944]
506,2015-02-02,[131.08999634],[130.0952372]
507,2015-02-03,[131.1000061],[130.09961258]
508,2015-02-04,[132.67999268],[130.73694231]
509,2015-02-05,[131.74000549],[132.00155007]
510,2015-02-06,[129.57000732],[132.15517003]
511,2015-02-09,[129.16000366],[130.56387676]
512,2015-02-10,[130.8500061],[129.14423053]
513,2015-02-11,[131.02000427],[129.72976319]
514,2015-02-12,[131.82000732],[130.79383974]
515,2015-02-13,[132.49000549],[131.63608484]
516,2015-02-17,[132.08000183],[132.19023839]
517,2015-02-18,[134.16000366],[132.1329682]
518,2015-02-19,[135.27999878],[133.07576291]
519,2015-02-20,[136.8999939],[134.53040481]
520,2015-02-23,[136.97999573],[136.14500935]
521,2015-02-24,[138.33999634],[136.86827723]
522,2015-02-25,[136.86999512],[137.59373663]
523,2015-02-26,[136.80000305],[137.20196002]
524,2015-02-27,[135.36999512],[136.62006422]
525,2015-03-02,[135.86999512],[135.63987176]
526,2015-03-03,[135.3999939],[135.40704115]
527,2015-03-04,[135.52000427],[135.36120795]
528,2015-03-05,[134.8999939],[135.39656965]
529,2015-03-06,[134.88999939],[135.05467658]
530,2015-03-09,[135.38999939],[134.75537383]
531,2015-03-10,[133.69000244],[134.95875284]
532,2015-03-11,[134.],[134.29213381]
533,2015-03-12,[137.52999878],[133.80209651]
534,2015-03-13,[136.16999817],[135.68078556]
535,2015-03-16,[137.52000427],[136.594045]
536,2015-03-17,[136.96000671],[137.11191697]
537,2015-03-18,[140.08000183],[136.9347698]
538,2015-03-19,[140.1000061],[138.4247832]
539,2015-03-20,[143.08999634],[139.76400153]
540,2015-03-23,[145.32000732],[141.7649998]
541,2015-03-24,[144.52000427],[144.07542617]
542,2015-03-25,[143.80999756],[144.6610453]
543,2015-03-26,[143.11000061],[143.82206633]
544,2015-03-27,[142.3999939],[142.76470367]
545,2015-03-30,[142.55000305],[142.07073078]
546,2015-03-31,[139.88999939],[142.0527453]
547,2015-04-01,[138.47999573],[140.76067913]
548,2015-04-02,[140.02000427],[138.87226453]
549,2015-04-06,[140.63999939],[138.86217528]
550,2015-04-07,[139.72000122],[139.98860933]
551,2015-04-08,[139.94000244],[140.14881003]
552,2015-04-09,[139.91000366],[139.79676416]
553,2015-04-10,[139.6499939],[139.54238637]
554,2015-04-13,[137.55999756],[139.41777455]
555,2015-04-14,[138.66000366],[138.2410451]
556,2015-04-15,[139.08000183],[137.94935414]
557,2015-04-16,[138.97999573],[138.50148422]
558,2015-04-17,[138.42999268],[138.90831913]
559,2015-04-20,[138.72999573],[138.59370861]
560,2015-04-21,[141.33000183],[138.36453723]
561,2015-04-22,[141.66000366],[139.83705351]
562,2015-04-23,[141.02999878],[141.26988166]
563,2015-04-24,[141.21000671],[141.30674229]
564,2015-04-27,[140.66000366],[140.87572264]
565,2015-04-28,[142.05999756],[140.39909473]
566,2015-04-29,[140.78999329],[141.0552845]
567,2015-04-30,[139.02000427],[141.04581996]
568,2015-05-01,[139.96000671],[139.67335032]
569,2015-05-04,[140.05999756],[139.17520261]
570,2015-05-05,[137.55000305],[139.5272633]
571,2015-05-06,[137.16000366],[138.51352092]
572,2015-05-07,[137.91999817],[137.234542]
573,2015-05-08,[142.11999512],[137.16406036]
574,2015-05-11,[137.44999695],[139.96430221]
575,2015-05-12,[137.66000366],[139.46556112]
576,2015-05-13,[136.61999512],[137.79278606]
577,2015-05-14,[137.94999695],[136.40911247]
578,2015-05-15,[139.36999512],[136.90425118]
579,2015-05-18,[139.42999268],[138.54877554]
580,2015-05-19,[139.52999878],[139.46539224]
581,2015-05-20,[139.00999451],[139.47063031]
