,Date,Actual,Predicted
296,2014-04-02,[34.88000107],[34.36520356]
297,2014-04-03,[35.43999863],[34.66030154]
298,2014-04-04,[34.81000137],[35.25797691]
299,2014-04-07,[34.11000061],[35.0839955]
300,2014-04-08,[34.52999878],[34.34785563]
301,2014-04-09,[33.61999893],[34.31363973]
302,2014-04-10,[33.29999924],[33.95044741]
303,2014-04-11,[31.93000031],[33.45227756]
304,2014-04-14,[32.54999924],[32.4042137]
305,2014-04-15,[33.36000061],[32.312018]
306,2014-04-16,[33.97000122],[33.06730454]
307,2014-04-17,[33.97999954],[33.83168925]
308,2014-04-21,[33.97999954],[34.03133738]
309,2014-04-22,[34.22999954],[33.97181492]
310,2014-04-23,[34.38999939],[34.1161583]
311,2014-04-24,[34.16999817],[34.3480976]
312,2014-04-25,[33.72000122],[34.28592722]
313,2014-04-28,[33.75999832],[33.89273202]
314,2014-04-29,[33.99000168],[33.73124035]
315,2014-04-30,[34.47999954],[33.911218]
316,2014-05-01,[34.90000153],[34.3416779]
317,2014-05-02,[34.97000122],[34.78642915]
318,2014-05-05,[34.75],[34.9696542]
319,2014-05-06,[34.75],[34.83144591]
320,2014-05-07,[35.06999969],[34.73480712]
321,2014-05-08,[34.84999847],[34.95111042]
322,2014-05-09,[34.22999954],[34.95484086]
323,2014-05-12,[34.81999969],[34.46752385]
324,2014-05-13,[35.15000153],[34.57895358]
325,2014-05-14,[34.93999863],[35.03054957]
326,2014-05-15,[34.36000061],[35.07075789]
327,2014-05-16,[34.],[34.57087362]
328,2014-05-19,[34.25],[34.08215413]
329,2014-05-20,[33.06999969],[34.13403944]
330,2014-05-21,[33.45999908],[33.52351997]
331,2014-05-22,[33.41999817],[33.33175672]
332,2014-05-23,[33.63000107],[33.41110701]
333,2014-05-27,[33.93999863],[33.59627876]
334,2014-05-28,[34.59000015],[33.85337285]
335,2014-05-29,[34.45000076],[34.36896703]
336,2014-05-30,[34.58000183],[34.52460284]
337,2014-06-02,[34.86000061],[34.54977683]
338,2014-06-03,[35.25999832],[34.74755088]
339,2014-06-04,[36.52000046],[35.13216217]
340,2014-06-05,[36.27000046],[36.10264582]
341,2014-06-06,[36.54999924],[36.41133019]
342,2014-06-09,[36.5],[36.472892]
343,2014-06-10,[36.40000153],[36.48072422]
344,2014-06-11,[36.11999893],[36.43278765]
345,2014-06-12,[35.52000046],[36.21804789]
346,2014-06-13,[35.63000107],[35.71404621]
347,2014-06-16,[36.06000137],[35.55567976]
348,2014-06-17,[36.36000061],[35.89390567]
349,2014-06-18,[36.29999924],[36.28594935]
350,2014-06-19,[36.36999893],[36.34150889]
351,2014-06-20,[36.22000122],[36.32197669]
352,2014-06-23,[36.66999817],[36.24229339]
353,2014-06-24,[36.58000183],[36.49886981]
354,2014-06-25,[37.09000015],[36.61729891]
355,2014-06-26,[36.90000153],[36.91608794]
356,2014-06-27,[36.61999893],[36.9592148]
357,2014-06-30,[36.29999924],[36.70774274]
358,2014-07-01,[37.59000015],[36.36807056]
359,2014-07-02,[37.74000168],[37.10182193]
360,2014-07-03,[37.74000168],[37.72717151]
361,2014-07-07,[37.43999863],[37.79077289]
362,2014-07-08,[37.58000183],[37.49465844]
363,2014-07-09,[37.97000122],[37.46788712]
364,2014-07-10,[37.75],[37.81696402]
365,2014-07-11,[37.95000076],[37.84750277]
366,2014-07-14,[37.70000076],[37.86340134]
367,2014-07-15,[37.58000183],[37.74385195]
368,2014-07-16,[37.47999954],[37.59066207]
369,2014-07-17,[37.09999847],[37.47676075]
370,2014-07-18,[37.40999985],[37.20075918]
371,2014-07-21,[37.43000031],[37.26184859]
372,2014-07-22,[37.75999832],[37.39924154]
373,2014-07-23,[37.40999985],[37.64091958]
374,2014-07-24,[35.74000168],[37.51463409]
375,2014-07-25,[35.06999969],[36.27550394]
376,2014-07-28,[34.90000153],[35.18017872]
377,2014-07-29,[34.45000076],[34.85957028]
378,2014-07-30,[34.31000137],[34.62057502]
379,2014-07-31,[33.81999969],[34.37395383]
380,2014-08-01,[33.43999863],[33.96751616]
381,2014-08-04,[33.61000061],[33.5504875]
382,2014-08-05,[33.36000061],[33.52866798]
383,2014-08-06,[33.40000153],[33.45986765]
384,2014-08-07,[33.11000061],[33.40805182]
385,2014-08-08,[33.52999878],[33.21656509]
386,2014-08-11,[33.79999924],[33.382593]
387,2014-08-12,[33.70000076],[33.71512281]
388,2014-08-13,[33.95000076],[33.77589107]
389,2014-08-14,[33.95000076],[33.87349268]
390,2014-08-15,[33.84000015],[33.94987727]
391,2014-08-18,[34.40000153],[33.89976269]
392,2014-08-19,[34.56999969],[34.20867677]
393,2014-08-20,[34.52999878],[34.52864999]
394,2014-08-21,[34.59999847],[34.58162797]
395,2014-08-22,[34.24000168],[34.57858322]
396,2014-08-25,[34.66999817],[34.36475747]
397,2014-08-26,[34.84999847],[34.51817712]
398,2014-08-27,[34.70999908],[34.79776095]
399,2014-08-28,[34.68000031],[34.79676347]
400,2014-08-29,[34.79999924],[34.6935805]
401,2014-09-02,[34.79999924],[34.74283111]
402,2014-09-03,[34.47000122],[34.80860377]
403,2014-09-04,[34.63000107],[34.60450901]
404,2014-09-05,[34.58000183],[34.56647042]
405,2014-09-08,[33.24000168],[34.59217414]
406,2014-09-09,[33.06999969],[33.73837321]
407,2014-09-10,[33.29000092],[33.10520806]
408,2014-09-11,[33.61000061],[33.17161859]
409,2014-09-12,[33.27000046],[33.53964187]
410,2014-09-15,[33.63000107],[33.45163437]
411,2014-09-16,[33.70999908],[33.50784313]
412,2014-09-17,[33.84999847],[33.66792798]
413,2014-09-18,[34.02999878],[33.82749113]
414,2014-09-19,[33.93999863],[33.98628992]
415,2014-09-22,[33.43999863],[33.98747227]
416,2014-09-23,[33.22000122],[33.63226795]
417,2014-09-24,[33.65000153],[33.29609428]
418,2014-09-25,[32.86999893],[33.49142992]
419,2014-09-26,[33.16999817],[33.19103885]
420,2014-09-29,[32.22000122],[33.09454747]
421,2014-09-30,[31.94000053],[32.5604935]
422,2014-10-01,[32.49000168],[32.06928788]
423,2014-10-02,[33.18000031],[32.28980838]
424,2014-10-03,[33.75999832],[32.96595657]
425,2014-10-06,[33.75],[33.61478225]
426,2014-10-07,[31.77000046],[33.79382124]
427,2014-10-08,[32.18000031],[32.49561091]
428,2014-10-09,[31.03000069],[31.99147977]
429,2014-10-10,[30.29000092],[31.43329486]
430,2014-10-13,[29.79000092],[30.67419386]
431,2014-10-14,[30.11000061],[30.0372712]
432,2014-10-15,[29.69000053],[30.04849106]
433,2014-10-16,[29.94000053],[29.93534885]
434,2014-10-17,[30.23999977],[29.9560425]
